,history,predict
1075_2016-04-30_23_3,10.0,32.26069
1075_2016-05-01_0_3,14.0,20.193913
1075_2016-05-01_1_3,6.0,12.313029
1075_2016-05-01_2_3,8.0,9.195487
1075_2016-05-01_3_3,10.0,16.528452
1075_2016-05-01_4_3,21.0,17.156033
1075_2016-05-01_5_3,17.0,24.413706
1075_2016-05-01_6_3,23.0,38.59979
1075_2016-05-01_7_3,51.0,61.39221
1075_2016-05-01_8_3,73.0,78.51398
1075_2016-05-01_9_3,99.0,98.25138
1075_2016-05-01_10_3,96.0,113.04557
1075_2016-05-01_11_3,96.0,112.69708
1075_2016-05-01_12_3,102.0,120.95172
1075_2016-05-01_13_3,91.0,109.09304
1075_2016-05-01_14_3,85.0,101.35737
1075_2016-05-01_15_3,70.0,95.50358
1075_2016-05-01_16_3,55.0,72.20943
1075_2016-05-01_17_3,48.0,64.388824
1075_2016-05-01_18_3,32.0,50.45472
1075_2016-05-01_19_3,21.0,39.353966
1075_2016-05-01_20_3,20.0,25.525175
1075_2016-05-01_21_3,12.0,12.597878
1075_2016-05-01_22_3,4.0,8.594092
1075_2016-05-01_23_3,5.0,4.1205187
1075_2016-05-02_0_3,3.0,3.2087755
1075_2016-05-02_1_3,5.0,3.7424037
1075_2016-05-02_2_3,7.0,6.850109
1075_2016-05-02_3_3,22.0,18.540482
1075_2016-05-02_4_3,42.0,35.51025
1075_2016-05-02_5_3,85.0,61.310585
1075_2016-05-02_6_3,57.0,54.17351
1075_2016-05-02_7_3,55.0,59.701954
1075_2016-05-02_8_3,69.0,74.534584
1075_2016-05-02_9_3,90.0,86.87309
1075_2016-05-02_10_3,84.0,93.73567
1075_2016-05-02_11_3,119.0,103.24082
1075_2016-05-02_12_3,96.0,109.08137
1075_2016-05-02_13_3,91.0,85.7357
1075_2016-05-02_14_3,95.0,95.141174
1075_2016-05-02_15_3,104.0,105.62141
1075_2016-05-02_16_3,101.0,100.857315
1075_2016-05-02_17_3,110.0,89.692444
1075_2016-05-02_18_3,114.0,83.60018
1075_2016-05-02_19_3,97.0,58.382706
1075_2016-05-02_20_3,59.0,39.809635
1075_2016-05-02_21_3,21.0,26.08041
1075_2016-05-02_22_3,21.0,19.355528
1075_2016-05-02_23_3,5.0,11.065452
1075_2016-05-03_0_3,3.0,4.578832
1075_2016-05-03_1_3,6.0,5.679551
1075_2016-05-03_2_3,3.0,9.533693
1075_2016-05-03_3_3,26.0,22.392008
1075_2016-05-03_4_3,51.0,43.459976
1075_2016-05-03_5_3,92.0,76.69397
1075_2016-05-03_6_3,79.0,68.78187
1075_2016-05-03_7_3,70.0,65.40355
1075_2016-05-03_8_3,80.0,83.091934
1075_2016-05-03_9_3,76.0,95.29983
1075_2016-05-03_10_3,108.0,101.1756
1075_2016-05-03_11_3,86.0,108.398445
1075_2016-05-03_12_3,91.0,99.28051
1075_2016-05-03_13_3,68.0,77.75362
1075_2016-05-03_14_3,100.0,85.55755
1075_2016-05-03_15_3,132.0,104.67643
1075_2016-05-03_16_3,122.0,108.29848
1075_2016-05-03_17_3,97.0,111.56493
1075_2016-05-03_18_3,73.0,119.767426
1075_2016-05-03_19_3,103.0,91.663704
1075_2016-05-03_20_3,72.0,54.415344
1075_2016-05-03_21_3,37.0,25.782827
1075_2016-05-03_22_3,20.0,19.821953
1075_2016-05-03_23_3,11.0,11.525059
1075_2016-05-04_0_3,6.0,6.4752207
1075_2016-05-04_1_3,2.0,6.0090632
1075_2016-05-04_2_3,16.0,9.205064
1075_2016-05-04_3_3,26.0,22.555063
1075_2016-05-04_4_3,50.0,46.369823
1075_2016-05-04_5_3,89.0,83.84288
1075_2016-05-04_6_3,80.0,70.06236
1075_2016-05-04_7_3,57.0,67.55429
1075_2016-05-04_8_3,83.0,84.38072
1075_2016-05-04_9_3,117.0,97.19088
1075_2016-05-04_10_3,118.0,102.538925
1075_2016-05-04_11_3,110.0,109.032036
1075_2016-05-04_12_3,97.0,107.81119
1075_2016-05-04_13_3,51.0,83.8941
1075_2016-05-04_14_3,93.0,96.3565
1075_2016-05-04_15_3,123.0,117.7542
1075_2016-05-04_16_3,120.0,113.84446
1075_2016-05-04_17_3,109.0,115.02929
1075_2016-05-04_18_3,143.0,121.9916
1075_2016-05-04_19_3,98.0,104.308716
1075_2016-05-04_20_3,52.0,66.59149
1075_2016-05-04_21_3,47.0,42.254475
1075_2016-05-04_22_3,12.0,23.062792
1075_2016-05-04_23_3,9.0,10.07904
1075_2016-05-05_0_3,3.0,6.8685613
1075_2016-05-05_1_3,5.0,4.202425
