,history,ys
1335_2015-05-01_0_1,6,1.1419930901227247
1335_2015-05-01_0_2,3,-4.254081503113085
1335_2015-05-01_0_3,5,-7.224071455487149
1335_2015-05-01_0_4,6,-6.346289179882547
1335_2015-05-01_0_5,17,2.5523196689822925
1335_2015-05-01_0_6,49,35.00919029785109
1335_2015-05-01_1_1,3,-0.6447731586349335
1335_2015-05-01_1_2,5,-4.089261926261059
1335_2015-05-01_1_3,6,-3.519221101484405
1335_2015-05-01_1_4,17,5.179718925978776
1335_2015-05-01_1_5,49,37.50695274443194
1335_2015-05-01_1_6,216,140.78067817796668
1335_2015-05-01_2_1,5,-1.5046109168822994
1335_2015-05-01_2_2,6,-1.3566143059653655
1335_2015-05-01_2_3,17,7.068643130966009
1335_2015-05-01_2_4,49,39.21834257289939
1335_2015-05-01_2_5,216,142.37683487722884
1335_2015-05-01_2_6,231,177.87680913844548
1335_2015-05-01_3_1,6,3.1355418912120854
1335_2015-05-01_3_2,17,10.740105522980897
1335_2015-05-01_3_3,49,42.357635722377125
1335_2015-05-01_3_4,216,145.1709365855854
1335_2015-05-01_3_5,231,180.44686747228303
1335_2015-05-01_3_6,202,145.2339531448131
1335_2015-05-01_4_1,17,12.678712486183272
1335_2015-05-01_4_2,49,43.91254141153854
1335_2015-05-01_4_3,216,146.4770391060834
1335_2015-05-01_4_4,231,181.59158377157846
1335_2015-05-01_4_5,202,146.27391767939565
1335_2015-05-01_4_6,178,138.0520809767874
1335_2015-05-01_5_1,49,46.789758003367595
1335_2015-05-01_5_2,216,148.74875660864976
1335_2015-05-01_5_3,231,183.4706734469067
1335_2015-05-01_5_4,202,147.89831688036975
1335_2015-05-01_5_5,178,139.5111424245017
1335_2015-05-01_5_6,172,145.4077651195913
1335_2015-05-01_6_1,216,150.20071409099592
1335_2015-05-01_6_2,231,184.6018512943525
1335_2015-05-01_6_3,202,148.82148200621407
1335_2015-05-01_6_4,178,140.29936010324778
1335_2015-05-01_6_5,172,146.10835618796142
1335_2015-05-01_6_6,195,157.9265201693458
1335_2015-05-01_7_1,231,227.34203483638532
1335_2015-05-01_7_2,202,181.7387804916595
1335_2015-05-01_7_3,178,166.8465038248305
1335_2015-05-01_7_4,172,168.52221813199932
1335_2015-05-01_7_5,195,177.6554122047125
1335_2015-05-01_7_6,171,179.7726908991356
1335_2015-05-01_8_1,202,184.09216635142698
1335_2015-05-01_8_2,178,168.64102637279976
1335_2015-05-01_8_3,172,169.95428062755815
1335_2015-05-01_8_4,195,178.8522345119697
1335_2015-05-01_8_5,171,180.8166115378197
1335_2015-05-01_8_6,239,190.90016116822795
1335_2015-05-01_9_1,178,180.06767544652976
1335_2015-05-01_9_2,172,178.59157035560747
1335_2015-05-01_9_3,195,185.68016740026167
1335_2015-05-01_9_4,171,186.46983056916451
1335_2015-05-01_9_5,239,195.78918193046593
1335_2015-05-01_9_6,251,212.51197255508816
1335_2015-05-01_10_1,172,177.28163920607432
1335_2015-05-01_10_2,195,184.69763384828929
1335_2015-05-01_10_3,171,185.69971480496946
1335_2015-05-01_10_4,239,195.15704947953492
1335_2015-05-01_10_5,251,211.96971549019645
1335_2015-05-01_10_6,170,157.0014763805063
1335_2015-05-01_11_1,195,181.3725496229667
1335_2015-05-01_11_2,171,183.22286824250796
1335_2015-05-01_11_3,239,193.23072185196833
1335_2015-05-01_11_4,251,210.40126879267353
1335_2015-05-01_11_5,170,155.66655479065062
1335_2015-05-01_11_6,191,160.067659574162
1335_2015-05-01_12_1,171,191.75427366226415
1335_2015-05-01_12_2,239,199.54614247143672
1335_2015-05-01_12_3,251,215.27781037059623
1335_2015-05-01_12_4,170,159.60667643479434
1335_2015-05-01_12_5,191,163.39515567461822
1335_2015-05-01_12_6,210,157.97777238314774
1335_2015-05-01_13_1,239,186.61826468367872
1335_2015-05-01_13_2,251,205.7626165255449
1335_2015-05-01_13_3,170,152.30891077277292
1335_2015-05-01_13_4,191,157.54281308326577
1335_2015-05-01_13_5,210,153.07462656642275
1335_2015-05-01_13_6,165,124.6884607481057
1335_2015-05-01_14_1,251,238.2412502444394
1335_2015-05-01_14_2,170,176.08582148853483
1335_2015-05-01_14_3,191,175.6600299379827
1335_2015-05-01_14_4,210,167.49389414460896
1335_2015-05-01_14_5,165,136.66598029714007
1335_2015-05-01_14_6,107,97.5122248162348
1335_2015-05-01_15_1,170,183.96264419576755
1335_2015-05-01_15_2,191,181.39672331463217
1335_2015-05-01_15_3,210,171.83656568463857
1335_2015-05-01_15_4,165,140.0946580472069
1335_2015-05-01_15_5,107,100.33255449891634
1335_2015-05-01_15_6,70,90.84085805009553
1335_2015-05-01_16_1,191,172.8125665102905
1335_2015-05-01_16_2,210,165.61708032472828
1335_2015-05-01_16_3,165,135.41886211198633
1335_2015-05-01_16_4,107,96.67411011195672
1335_2015-05-01_16_5,70,87.86752802365208
1335_2015-05-01_16_6,95,80.419212527854
1335_2015-05-01_17_1,210,176.751483178449
1335_2015-05-01_17_2,165,143.44177719827036
1335_2015-05-01_17_3,107,102.65897498691521
1335_2015-05-01_17_4,70,92.49878099357666
1335_2015-05-01_17_5,95,84.12303718779074
1335_2015-05-01_17_6,64,63.186564601275954
1335_2015-05-01_18_1,165,163.7041484563921
1335_2015-05-01_18_2,107,117.16733584603114
1335_2015-05-01_18_3,70,103.21851452468121
1335_2015-05-01_18_4,95,92.29640376520734
1335_2015-05-01_18_5,64,69.57000419759154
1335_2015-05-01_18_6,20,43.43376380458166
1335_2015-05-01_19_1,107,117.95284907196967
1335_2015-05-01_19_2,70,103.7765143020707
1335_2015-05-01_19_3,95,92.70334609216468
1335_2015-05-01_19_4,64,69.87351343721494
1335_2015-05-01_19_5,20,43.65923237761386
1335_2015-05-01_19_6,12,30.863067584166814
1335_2015-05-01_20_1,70,97.18323993510816
1335_2015-05-01_20_2,95,88.07187944193228
1335_2015-05-01_20_3,64,66.56273687216378
1335_2015-05-01_20_4,20,41.303542032980545
1335_2015-05-01_20_5,12,28.98572121168546
1335_2015-05-01_20_6,5,24.20754507765139
1335_2015-05-01_21_1,95,71.87534394281624
1335_2015-05-01_21_2,64,55.38748288590386
1335_2015-05-01_21_3,20,33.658408997323946
1335_2015-05-01_21_4,12,23.193189882769417
1335_2015-05-01_21_5,5,19.616581996547367
1335_2015-05-01_21_6,2,19.670701869947237
1335_2015-05-01_22_1,64,68.93086694308775
1335_2015-05-01_22_2,20,42.627573553905705
1335_2015-05-01_22_3,12,29.689419036571266
1335_2015-05-01_22_4,5,24.50927302150548
1335_2015-05-01_22_5,2,23.5233362976182
1335_2015-05-01_22_6,1,23.234960929653596
1335_2015-05-01_23_1,20,39.85446068005723
1335_2015-05-01_23_2,12,27.752922768142454
1335_2015-05-01_23_3,5,23.115187428671277
1335_2015-05-01_23_4,2,22.48097776851722
1335_2015-05-01_23_5,1,22.420742854109562
1335_2015-05-01_23_6,4,24.722438452911405
1335_2015-05-02_0_1,12,15.945846215326156
1335_2015-05-02_0_2,5,14.927117241594132
1335_2015-05-02_0_3,2,16.639323696534575
1335_2015-05-02_0_4,1,18.10070826929511
1335_2015-05-02_0_5,4,21.38946362241215
1335_2015-05-02_0_6,17,28.966061604590067
1335_2015-05-02_1_1,5,12.582150575559893
1335_2015-05-02_1_2,2,15.006124906353918
1335_2015-05-02_1_3,1,16.928974790714648
1335_2015-05-02_1_4,4,20.516966531685014
1335_2015-05-02_1_5,17,28.28765585277496
1335_2015-05-02_1_6,42,61.14073970939458
1335_2015-05-02_2_1,2,10.4999489658707
1335_2015-05-02_2_2,1,13.790364660777328
1335_2015-05-02_2_3,4,18.26499911458984
1335_2015-05-02_2_4,17,26.610629761112918
1335_2015-05-02_2_5,42,59.83663253643982
1335_2015-05-02_2_6,64,82.73271861412778
1335_2015-05-02_3_1,1,8.739786132876432
1335_2015-05-02_3_2,4,14.748133471035445
1335_2015-05-02_3_3,17,24.08812912052035
1335_2015-05-02_3_4,42,57.958929179362485
1335_2015-05-02_3_5,64,81.27324884009403
1335_2015-05-02_3_6,129,114.89426006555182
1335_2015-05-02_4_1,4,10.150250236745606
1335_2015-05-02_4_2,17,20.887371869281893
1335_2015-05-02_4_3,42,55.663986058922106
1335_2015-05-02_4_4,64,79.56568665670713
1335_2015-05-02_4_5,129,113.56769561042994
1335_2015-05-02_4_6,156,126.27783062187623
1335_2015-05-02_5_1,17,17.23453421274789
1335_2015-05-02_5_2,42,53.12177968568169
1335_2015-05-02_5_3,64,77.74355173971935
1335_2015-05-02_5_4,129,112.21250031409026
1335_2015-05-02_5_5,156,125.22551661433027
1335_2015-05-02_5_6,178,139.55973902914016
1335_2015-05-02_6_1,42,52.98250979872196
1335_2015-05-02_6_2,64,77.64665054355467
1335_2015-05-02_6_3,129,112.14306879259557
1335_2015-05-02_6_4,156,125.17389839639974
1335_2015-05-02_6_5,178,139.51967578118862
1335_2015-05-02_6_6,193,165.29682605357547
1335_2015-05-02_7_1,64,71.12630666547764
1335_2015-05-02_7_2,129,107.60742206963445
1335_2015-05-02_7_3,156,121.92503792167233
1335_2015-05-02_7_4,178,137.10527500735938
1335_2015-05-02_7_5,193,163.4237371504868
1335_2015-05-02_7_6,163,152.0350418950982
1335_2015-05-02_8_1,129,103.37727698304387
1335_2015-05-02_8_2,156,118.98315470293238
1335_2015-05-02_8_3,178,134.99865122458147
1335_2015-05-02_8_4,193,161.85877945508648
1335_2015-05-02_8_5,163,150.82148237550132
1335_2015-05-02_8_6,147,150.85325668890923
1335_2015-05-02_9_1,156,134.19007643553996
1335_2015-05-02_9_2,178,145.572101800781
1335_2015-05-02_9_3,193,169.42801598127141
1335_2015-05-02_9_4,163,156.44241178536677
1335_2015-05-02_9_5,147,155.21014028389354
1335_2015-05-02_9_6,149,157.38618574393016
1335_2015-05-02_10_1,178,158.51400621563926
1335_2015-05-02_10_2,193,178.4246829329675
1335_2015-05-02_10_3,163,162.88103528389976
1335_2015-05-02_10_4,147,159.98971812213364
1335_2015-05-02_10_5,149,161.08925048282774
